Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
South Africa,Sri Lanka,South Africa,258 runs,Paarl,11-Jan-12,ODI # 3225
South Africa,Sri Lanka,South Africa,5 wickets,East London,14-Jan-12,ODI # 3226
South Africa,Sri Lanka,South Africa,4 runs,Bloemfontein,17-Jan-12,ODI # 3227
South Africa,Sri Lanka,Sri Lanka,5 wickets,Kimberley,20-Jan-12,ODI # 3228
South Africa,Sri Lanka,Sri Lanka,2 wickets,Johannesburg,22-Jan-12,ODI # 3229
New Zealand,Zimbabwe,New Zealand,90 runs,Dunedin,3-Feb-12,ODI # 3230
Australia,India,Australia,65 runs,Melbourne,5-Feb-12,ODI # 3231
New Zealand,Zimbabwe,New Zealand,141 runs,Whangarei,6-Feb-12,ODI # 3232
India,Sri Lanka,India,4 wickets,Perth,8-Feb-12,ODI # 3233
New Zealand,Zimbabwe,New Zealand,202 runs,Napier,9-Feb-12,ODI # 3234
Australia,Sri Lanka,Australia,5 runs,Perth,10-Feb-12,ODI # 3235
Afghanistan,Pakistan,Pakistan,7 wickets,Sharjah,10-Feb-12,ODI # 3236
Australia,India,India,4 wickets,Adelaide,12-Feb-12,ODI # 3237
England,Pakistan,England,130 runs,Abu Dhabi,13-Feb-12,ODI # 3238
India,Sri Lanka,tied,,Adelaide,14-Feb-12,ODI # 3239
England,Pakistan,England,20 runs,Abu Dhabi,15-Feb-12,ODI # 3240
Australia,Sri Lanka,Sri Lanka,8 wickets,Sydney,17-Feb-12,ODI # 3241
Kenya,Ireland,Kenya,7 wickets,Mombasa,18-Feb-12,ODI # 3242
England,Pakistan,England,9 wickets,Dubai (DSC),18-Feb-12,ODI # 3243
Australia,India,Australia,110 runs,Brisbane,19-Feb-12,ODI # 3244
Kenya,Ireland,Ireland,117 runs,Mombasa,20-Feb-12,ODI # 3245
India,Sri Lanka,Sri Lanka,51 runs,Brisbane,21-Feb-12,ODI # 3246
England,Pakistan,England,4 wickets,Dubai (DSC),21-Feb-12,ODI # 3247
Australia,Sri Lanka,Sri Lanka,3 wickets,Hobart,24-Feb-12,ODI # 3248
New Zealand,South Africa,South Africa,6 wickets,Wellington,25-Feb-12,ODI # 3249
Australia,India,Australia,87 runs,Sydney,26-Feb-12,ODI # 3250
India,Sri Lanka,India,7 wickets,Hobart,28-Feb-12,ODI # 3251
New Zealand,South Africa,South Africa,6 wickets,Napier,29-Feb-12,ODI # 3252
Australia,Sri Lanka,Sri Lanka,9 runs,Melbourne,2-Mar-12,ODI # 3253
New Zealand,South Africa,South Africa,5 wickets,Auckland,3-Mar-12,ODI # 3254
Australia,Sri Lanka,Australia,15 runs,Brisbane,4-Mar-12,ODI # 3255
